Date,Gender,Death Total,Case Total,Cases,Deaths
7/2/2021,Male,1,54,22,0
7/2/2021,Female,1,54,32,1
7/4/2021,Male,1,18,8,0
7/4/2021,Female,1,18,10,1
7/6/2021,Male,2,75,30,0
7/6/2021,Female,2,75,45,2
7/8/2021,Male,0,76,33,0
7/8/2021,Female,0,76,43,0
7/10/2021,Male,0,49,25,0
7/10/2021,Female,0,49,24,0
7/12/2021,Male,0,103,52,0
7/12/2021,Female,0,103,51,0
7/14/2021,Male,2,138,65,0
7/14/2021,Female,2,138,73,2
7/16/2021,Male,1,154,75,1
7/16/2021,Female,1,154,79,0
7/18/2021,Male,0,92,41,0
7/18/2021,Female,0,92,51,0
7/20/2021,Male,3,188,90,2
7/20/2021,Female,3,188,98,1
7/22/2021,Male,1,223,103,0
7/22/2021,Female,1,223,120,1
7/24/2021,Male,0,197,103,0
7/24/2021,Female,0,197,94,0
7/26/2021,Male,2,326,148,0
7/26/2021,Female,2,326,178,2
7/28/2021,Male,3,348,173,2
7/28/2021,Female,3,348,175,1
7/30/2021,Male,2,354,190,1
7/30/2021,Female,2,354,164,1
8/1/2021,Male,3,214,106,2
8/1/2021,Female,3,214,108,1
8/3/2021,Male,1,441,213,1
8/3/2021,Female,1,441,228,0
8/5/2021,Male,2,477,244,2
8/5/2021,Female,2,477,233,0
8/7/2021,Male,2,318,155,1
8/7/2021,Female,2,318,163,1
8/9/2021,Male,4,503,263,0
8/9/2021,Female,4,503,240,4
8/11/2021,Male,2,600,292,0
8/11/2021,Female,2,600,308,2
8/13/2021,Male,3,626,353,1
8/13/2021,Female,3,626,273,2
8/15/2021,Male,5,285,147,3
8/15/2021,Female,5,285,138,2
8/17/2021,Male,3,554,283,3
8/17/2021,Female,3,554,271,0
8/19/2021,Male,5,545,256,1
8/19/2021,Female,5,545,289,4
8/21/2021,Male,1,373,180,1
8/21/2021,Female,1,373,193,0
8/23/2021,Male,2,645,307,1
8/23/2021,Female,2,645,338,1
8/25/2021,Male,6,605,286,5
8/25/2021,Female,6,605,319,1
8/27/2021,Male,3,540,252,2
8/27/2021,Female,3,540,288,1
8/29/2021,Male,2,309,159,0
8/29/2021,Female,2,309,150,2
8/31/2021,Male,7,528,246,4
8/31/2021,Female,7,528,282,3
9/2/2021,Male,6,497,250,1
9/2/2021,Female,6,497,247,5
9/4/2021,Male,5,342,156,5
9/4/2021,Female,5,342,186,0
9/6/2021,Male,4,279,140,2
9/6/2021,Female,4,279,139,2
9/8/2021,Male,7,658,302,1
9/8/2021,Female,7,658,356,6
9/10/2021,Male,5,511,246,3
9/10/2021,Female,5,511,265,2
9/12/2021,Male,5,266,100,2
9/12/2021,Female,5,266,166,3
9/14/2021,Male,5,495,244,3
9/14/2021,Female,5,495,251,2
9/16/2021,Male,7,475,225,5
9/16/2021,Female,7,475,250,2
9/18/2021,Male,4,309,145,1
9/18/2021,Female,4,309,164,3
9/20/2021,Male,6,486,217,4
9/20/2021,Female,6,486,269,2
9/22/2021,Male,7,405,209,4
9/22/2021,Female,7,405,196,3
9/24/2021,Male,6,350,165,5
9/24/2021,Female,6,350,185,1
9/26/2021,Male,9,207,101,5
9/26/2021,Female,9,207,106,4
9/28/2021,Male,4,384,172,1
9/28/2021,Female,4,384,212,3
9/30/2021,Male,7,461,223,3
9/30/2021,Female,7,461,238,4
10/2/2021,Male,4,237,115,2
10/2/2021,Female,4,237,122,2
10/4/2021,Male,3,427,216,2
10/4/2021,Female,3,427,211,1
10/6/2021,Male,5,374,190,4
10/6/2021,Female,5,374,184,1
10/8/2021,Male,8,310,151,5
10/8/2021,Female,8,310,159,3
10/10/2021,Male,6,172,74,3
10/10/2021,Female,6,172,98,3
10/12/2021,Male,6,375,176,4
10/12/2021,Female,6,375,199,2
10/14/2021,Male,1,361,143,1
10/14/2021,Female,1,361,218,0
10/16/2021,Male,4,178,93,1
10/16/2021,Female,4,178,85,3
10/18/2021,Male,1,352,168,0
10/18/2021,Female,1,352,184,1
10/20/2021,Male,5,320,174,4
10/20/2021,Female,5,320,146,1
10/22/2021,Male,5,305,152,2
10/22/2021,Female,5,305,153,3
10/23/2021,Male,2,222,112,0
10/23/2021,Female,2,222,110,2
10/24/2021,Male,4,204,94,2
10/24/2021,Female,4,204,110,2
10/25/2021,Male,3,361,172,3
10/25/2021,Female,3,361,189,0
10/26/2021,Male,3,342,162,1
10/26/2021,Female,3,342,180,2
10/27/2021,Male,3,385,188,2
10/27/2021,Female,3,385,197,1
10/28/2021,Male,6,400,190,4
10/28/2021,Female,6,400,210,2
10/29/2021,Male,2,369,186,2
10/29/2021,Female,2,369,183,0
10/30/2021,Male,2,279,139,1
10/30/2021,Female,2,279,140,1
10/31/2021,Male,1,239,114,1
10/31/2021,Female,1,239,125,0
11/1/2021,Male,3,435,202,2
11/1/2021,Female,3,435,233,1
11/2/2021,Male,4,488,226,2
11/2/2021,Female,4,488,262,2
11/3/2021,Male,8,515,235,3
11/3/2021,Female,8,515,280,5
11/4/2021,Male,1,495,223,1
11/4/2021,Female,1,495,272,0
11/5/2021,Male,3,471,230,2
11/5/2021,Female,3,471,241,1
11/6/2021,Male,4,311,153,2
11/6/2021,Female,4,311,158,2
11/7/2021,Male,5,305,143,3
11/7/2021,Female,5,305,162,2
11/8/2021,Male,5,605,301,2
11/8/2021,Female,5,605,304,3
11/9/2021,Male,5,645,314,3
11/9/2021,Female,5,645,331,2
11/10/2021,Male,2,590,287,1
11/10/2021,Female,2,590,303,1
11/11/2021,Male,4,522,242,1
11/11/2021,Female,4,522,280,3
11/12/2021,Male,6,614,281,2
11/12/2021,Female,6,614,333,4
11/13/2021,Male,7,386,190,2
11/13/2021,Female,7,386,196,5
11/14/2021,Male,4,380,201,3
11/14/2021,Female,4,380,179,1
11/15/2021,Male,5,686,339,1
11/15/2021,Female,5,686,347,4
11/16/2021,Male,6,739,363,4
11/16/2021,Female,6,739,376,2
11/17/2021,Male,2,732,362,1
11/17/2021,Female,2,732,370,1
11/18/2021,Male,9,630,307,6
11/18/2021,Female,9,630,323,3
11/19/2021,Male,1,683,322,0
11/19/2021,Female,1,683,361,1
11/20/2021,Male,3,464,220,1
11/20/2021,Female,3,464,244,2
11/21/2021,Male,3,373,150,1
11/21/2021,Female,3,373,223,2
11/22/2021,Male,3,777,374,1
11/22/2021,Female,3,777,403,2
11/23/2021,Male,4,720,373,3
11/23/2021,Female,4,720,347,1
11/24/2021,Male,6,666,344,3
11/24/2021,Female,6,666,322,3
11/25/2021,Male,3,187,94,1
11/25/2021,Female,3,187,93,2
11/26/2021,Male,13,516,243,5
11/26/2021,Female,13,516,273,8
11/27/2021,Male,4,552,266,4
11/27/2021,Female,4,552,286,0
11/28/2021,Male,3,489,240,1
11/28/2021,Female,3,489,249,2
11/29/2021,Male,7,1458,723,2
11/29/2021,Female,7,1458,735,5
11/30/2021,Male,2,1168,591,2
11/30/2021,Female,2,1168,577,0
12/1/2021,Male,6,1208,554,4
12/1/2021,Female,6,1208,654,2
12/2/2021,Male,8,1054,483,4
12/2/2021,Female,8,1054,571,4
12/3/2021,Male,8,917,474,4
12/3/2021,Female,8,917,443,4
12/4/2021,Male,4,609,278,3
12/4/2021,Female,4,609,331,1
12/5/2021,Male,8,510,247,5
12/5/2021,Female,8,510,263,3
12/6/2021,Male,6,1205,548,4
12/6/2021,Female,6,1205,657,2
12/7/2021,Male,11,1152,552,8
12/7/2021,Female,11,1152,600,3
12/8/2021,Male,10,1284,631,8
12/8/2021,Female,10,1284,653,2
12/9/2021,Male,8,1298,646,2
12/9/2021,Female,8,1298,652,6
12/10/2021,Male,15,1209,590,4
12/10/2021,Female,15,1209,619,11
12/11/2021,Male,10,869,406,8
12/11/2021,Female,10,869,463,2
12/12/2021,Male,13,823,376,8
12/12/2021,Female,13,823,447,5
12/13/2021,Male,12,2165,1047,6
12/13/2021,Female,12,2165,1118,6
12/14/2021,Male,14,2800,1306,4
12/14/2021,Female,14,2800,1494,10
12/15/2021,Male,10,3582,1622,4
12/15/2021,Female,10,3582,1960,6
12/16/2021,Male,10,3977,1809,7
12/16/2021,Female,10,3977,2168,3
12/17/2021,Male,9,3637,1644,4
12/17/2021,Female,9,3637,1993,5
12/18/2021,Male,8,2730,1250,7
12/18/2021,Female,8,2730,1480,1
12/19/2021,Male,12,2575,1138,4
12/19/2021,Female,12,2575,1437,8
12/20/2021,Male,13,5789,2679,8
12/20/2021,Female,13,5789,3110,5
12/21/2021,Male,9,6901,3113,6
12/21/2021,Female,9,6901,3788,3
12/22/2021,Male,18,7478,3295,8
12/22/2021,Female,18,7478,4183,10
12/23/2021,Male,17,7113,3185,10
12/23/2021,Female,17,7113,3928,7
12/24/2021,Male,17,3917,1777,9
12/24/2021,Female,17,3917,2140,8
12/25/2021,Male,19,1450,688,10
12/25/2021,Female,19,1450,762,9
12/26/2021,Male,11,4439,2018,6
12/26/2021,Female,11,4439,2421,5
12/27/2021,Male,17,9209,4096,11
12/27/2021,Female,17,9209,5113,6
12/28/2021,Male,15,10401,4521,9
12/28/2021,Female,15,10401,5880,6
12/29/2021,Male,13,9338,4077,5
12/29/2021,Female,13,9338,5261,8
12/30/2021,Male,15,8157,3606,11
12/30/2021,Female,15,8157,4551,4
12/31/2021,Male,23,5172,2308,16
12/31/2021,Female,23,5172,2864,7
